,Name,Ratings,Area,Address,Cost for Two
0,AllahabadKababParatha,4.2,Kareli," 5A, Shaukat Ali Road, Atala, Allahabad, Kareli, Allahabad",₹600
1,AL-BaikZone,4.4,Kareli," C-640, Near HDFC Bank, GTB Nagar, Kareli, Allahabad",₹300
2,RollsMania,4.1,AshokNagar," 76-A, Muir Road, Opposite Rishikul Inter College, Ashok Nagar, Allahabad",₹450
3,Aroma,4.0,CivilLines," LBS Marg, Civil Lines, Allahabad",₹500
4,DaawatTheRestaurant,3.2,Dhoomanganj," 6A/1A, Meera Patti, Kanpur Road, Dhoomanganj, Allahabad",₹250
5,DaanaPaniRestaurant,2.8,Dhoomanganj," 349-C, Neem Sarai, G.T. Road, Mundera Bazar, Harwara, Dhoomanganj, Allahabad",₹250
6,HyderabadiBiryani,4.0,CivilLines," JMD Bhawan, Strachey Road, Near Vishal Mega Mart, Civil Lines, Allahabad",₹400
7,GuruKripaBhojnalaya,2.7,Dhoomanganj," 42, Super Market, Transport Nagar, Mundera, Dhoomanganj, Allahabad",₹150
8,GourmetFamilyRestaurant,3.6,Dhoomanganj," 29, Sulem Sarai, Dhoomanganj, Allahabad",₹300
9,JaiShriBhojnalaya,2.9,Dhoomanganj," 39-40, Supermarket, Mundera, Allahabad, Dhoomanganj, Allahabad",₹150
10,KathiJunction,3.3,Dhoomanganj," 19 B, Harwara, Pritam Nagar, Dhoomanganj, Allahabad",₹150
11,TasteOfPrayagraj,3.1,Dhoomanganj," Beside Mundera Mandi Gate No. 2, In front of Narayan Swaroop Hospital, Dhoomanganj, Allahabad",₹300
12,Karn'sRestaurant,3.7,Dhoomanganj," 70/35E/6, Jayantipur, Kandhaipur Road, Pritam Nagar, Dhoomanganj, Allahabad-211011",₹200
13,Bebo'sKitchen,3.6,Rajrooppur," First Floor, Jawed Complex, Near Rajrooppur Police Chowki, Kalindipuram, Allahabad",₹400
14,DelightMuffins,3.4,Dhoomanganj," 234B/2M/2, Harwara, Dhoomanganj, Allahabad",₹150
